pig_id ,day   ,start_time     ,take_off_1     ,put_on_1       ,take_off_2     ,put_on_2       ,end_time
CO-006 ,day_2 ,11/3/10 6:00   ,               ,               ,               ,               ,11/3/10 22:50
CO-006 ,day_3 ,11/4/10 6:20   ,               ,               ,               ,               ,11/4/10 13:15
CO-007 ,day_0 ,11/15/10 11:32 ,               ,               ,               ,               ,
CO-007 ,day_1 ,               ,11/16/10 15:23 ,11/16/10 15:45 ,               ,               ,
CO-007 ,day_2 ,               ,11/17/10 11:55 ,11/17/10 12:15 ,               ,               ,
CO-007 ,day_3 ,               ,               ,               ,               ,               ,11/18/10 12:00
CO-008 ,day_0 ,12/12/10 11:20 ,12/12/10 12:20 ,12/12/10 12:50 ,               ,               ,
CO-008 ,day_1 ,               ,12/13/10 8:30  ,12/13/10 12:15 ,               ,               ,
CO-008 ,day_2 ,               ,               ,12/14/10 15:00 ,               ,               ,
CO-008 ,day_3 ,               ,12/15/10 8:30  ,12/15/10 10:00 ,               ,               ,12/15/10 12:00
CO-009 ,day_0 ,12/27/10 11:34 ,               ,               ,               ,               ,
CO-009 ,day_1 ,               ,               ,               ,               ,               ,
CO-009 ,day_2 ,               ,12/29/10 8:14  ,12/29/10 9:00  ,               ,               ,
CO-009 ,day_3 ,               ,12/30/10 7:20  ,12/30/10 0:10  ,               ,               ,12/30/10 12:00
CO-010 ,day_0 ,1/5/11 12:59   ,1/5/11 14:30   ,1/5/11 16:00   ,               ,               ,
CO-010 ,day_1 ,               ,               ,               ,               ,               ,
CO-010 ,day_2 ,               ,1/7/11 6:45    ,1/7/11 10:10   ,               ,               ,1/7/11 23:30
CO-010 ,day_3 ,1/8/11 6:30    ,1/8/11 7:00    ,1/8/11 10:10   ,               ,               ,1/8/11 13:00
CO-011 ,day_0 ,1/9/11 12:00   ,               ,               ,               ,               ,1/9/11 0:00
CO-011 ,day_1 ,1/10/11 9:00   ,               ,               ,               ,               ,1/10/11 0:30
CO-011 ,day_2 ,1/11/11 12:00  ,               ,               ,               ,               ,1/11/11 0:30
CO-011 ,day_3 ,1/12/11 9:00   ,               ,               ,               ,               ,1/12/11 11:15
CO-012 ,day_0 ,1/25/11 11:34  ,               ,               ,               ,               ,
CO-012 ,day_1 ,               ,1/26/11 10:10  ,1/26/11 10:35  ,               ,               ,
CO-012 ,day_2 ,               ,1/27/11 9:20   ,1/27/11 10:30  ,               ,               ,
CO-012 ,day_3 ,               ,1/28/11 8:30   ,1/28/11 9:00   ,               ,               ,1/28/11 12:30
