pig_id ,serial_number ,remarks            ,day   ,date       ,start_time          ,end_time            ,took_off            ,put_on
CO-021 ,2007 (1001)   ,75h                ,day_0 ,2011-07-07 ,2011-07-07 12:50:00 ,2011-07-07 22:05:00 ,2011-07-07 17:50:00 ,2011-07-07 19:20:00
CO-022 ,2086          ,75h                ,day_0 ,2011-08-10 ,2011-08-10 11:10:00 ,2011-08-10 21:30:00 ,                    ,
CO-023 ,2007 (1001)   ,                   ,day_0 ,2011-08-24 ,2011-08-24 14:25:00 ,2011-08-24 00:30:00 ,                    ,
CO-024 ,2087          ,24h                ,day_0 ,2012-01-18 ,2012-01-18 13:40:00 ,                    ,                    ,
CO-026 ,2055          ,72h                ,day_0 ,2012-07-05 ,2012-07-05 15:50:00 ,2012-07-05 22:55:00 ,2012-07-05 17:55:00 ,2012-07-05 18:00:00
CO-027 ,2132          ,75h                ,day_0 ,2012-04-22 ,2012-04-22 11:05:00 ,2012-04-22 22:00:00 ,                    ,
CO-028 ,2055          ,75h                ,day_0 ,2012-06-04 ,2012-06-04 12:25:00 ,2012-06-04 23:00:00 ,                    ,
CO-029 ,2088          ,75h                ,day_0 ,2011-08-14 ,2011-08-14 13:00:00 ,                    ,                    ,
CO-030 ,2120          ,43h                ,day_0 ,2012-04-30 ,2012-04-30 14:30:00 ,                    ,                    ,
CO-031 ,2086          ,75h                ,day_0 ,2012-03-15 ,2012-03-15 15:33:00 ,2012-03-15 23:15:00 ,                    ,
CO-032 ,2086          ,75h                ,day_0 ,2012-05-21 ,2012-05-21 14:30:00 ,2012-05-21 21:10:00 ,                    ,
CO-035 ,2087          ,73:22h             ,day_0 ,2012-06-07 ,2012-06-07 10:50:00 ,2012-06-07 23:00:00 ,2012-06-07 14:00:00 ,2012-06-07 17:00:00
CO-036 ,2018          ,72:53h             ,day_0 ,2012-06-07 ,                    ,2012-06-07 15:00:00 ,                    ,
CO-037 ,2027          ,71:25h             ,day_0 ,2012-06-11 ,2012-06-11 12:10:00 ,2012-06-11 00:00:00 ,                    ,
CO-039 ,2075          ,73:14h             ,day_0 ,2012-06-17 ,2012-06-17 13:29:00 ,2012-06-17 22:00:00 ,2012-06-17 15:15:00 ,2012-06-17 16:45:00
CO-040 ,2055          ,75:45h             ,day_0 ,2012-06-18 ,2012-06-18 11:50:00 ,                    ,                    ,
CO-041 ,2075          ,75h                ,day_0 ,2012-07-03 ,2012-07-03 13:35:00 ,2012-07-03 01:30:00 ,                    ,
CO-042 ,2018          ,75h                ,day_0 ,2012-07-04 ,2012-07-04 11:54:00 ,2012-07-04 23:00:00 ,                    ,
FL-003 ,2018 (1002)   ,                   ,day_0 ,2010-07-21 ,2010-07-21 12:02:00 ,                    ,                    ,
FL-003 ,2086          ,72:50h             ,day_0 ,2012-06-17 ,2012-06-17 09:38:00 ,2012-06-17 23:15:00 ,2012-06-17 14:00:00 ,2012-06-17 17:25:00
FL-004 ,2027 (1004)   ,                   ,day_0 ,2011-01-30 ,2011-01-30 15:50:00 ,2011-01-30 23:00:00 ,                    ,
FL-005 ,2007 (1001)   ,67:19h             ,day_0 ,2011-03-23 ,2011-03-23 13:05:00 ,2011-03-23 00:30:00 ,                    ,
FL-006 ,2027 (1004)   ,75h                ,day_0 ,2011-05-08 ,2011-05-08 15:07:00 ,2011-05-08 23:00:00 ,                    ,
FL-007 ,2130          ,75h                ,day_0 ,2011-05-15 ,2011-05-15 09:45:00 ,2011-05-15 23:10:00 ,2011-05-15 19:55:00 ,2011-05-15 20:15:00
FL-008 ,2018 (1002)   ,"Came to the lab
                       still flickering " ,day_0 ,2011-05-22 ,2011-05-22 10:30:00 ,2011-05-22 23:30:00 ,2011-05-22 15:15:00 ,2011-05-22 17:30:00
FL-009 ,2027 (1004)   ,67h                ,day_0 ,2011-05-24 ,2011-05-24 12:40:00 ,                    ,2011-05-24 14:30:00 ,2011-05-24 14:50:00
FL-011 ,2088          ,                   ,day_0 ,2011-06-05 ,2011-06-05 12:10:00 ,2011-06-05 01:00:00 ,2011-06-05 15:00:00 ,2011-06-05 16:30:00
FL-013 ,2130          ,75h                ,day_0 ,2011-08-23 ,2011-08-23 12:40:00 ,                    ,                    ,
FL-014 ,2130          ,75h                ,day_0 ,2011-08-30 ,2011-08-30 12:15:00 ,2011-08-30 23:00:00 ,                    ,
FL-016 ,2087          ,75h                ,day_0 ,2011-09-14 ,2011-09-14 14:22:00 ,                    ,                    ,
FL-017 ,2086          ,75h                ,day_0 ,2011-12-18 ,                    ,                    ,2011-12-18 22:30:00 ,2011-12-18 23:00:00
FL-018 ,2130          ,73:36h             ,day_0 ,2011-09-21 ,2011-09-21 10:15:00 ,                    ,2011-09-21 18:20:00 ,2011-09-21 18:35:00
FL-019 ,2132          ,75h                ,day_0 ,2011-10-05 ,2011-10-05 13:00:00 ,2011-10-05 22:00:00 ,                    ,
FL-021 ,2087          ,                   ,day_0 ,2011-10-31 ,2011-10-31 14:27:00 ,                    ,                    ,
FL-022 ,2087          ,                   ,day_0 ,2011-10-24 ,2011-10-24 15:10:00 ,                    ,                    ,
FL-023 ,2130          ,                   ,day_0 ,2011-11-06 ,2011-11-06 11:30:00 ,                    ,                    ,
FL-025 ,2087          ,75h                ,day_0 ,2011-11-21 ,2011-11-21 14:00:00 ,2011-11-21 22:10:00 ,                    ,
FL-026 ,2007          ,69h                ,day_0 ,2011-12-05 ,                    ,2011-12-05 21:30:00 ,2011-12-05 15:00:00 ,2011-12-05 16:00:00
FL-027 ,2086          ,75h                ,day_0 ,2012-01-08 ,2012-01-08 10:30:00 ,                    ,                    ,
FL-031 ,2120          ,                   ,day_0 ,2012-04-23 ,2012-04-23 12:45:00 ,2012-04-23 21:30:00 ,                    ,
FL-033 ,2086          ,                   ,day_0 ,2012-06-04 ,2012-06-04 12:33:00 ,2012-06-04 22:55:00 ,                    ,
FL-035 ,2075          ,75h                ,day_0 ,2012-06-21 ,2012-06-21 09:00:00 ,2012-06-21 20:00:00 ,                    ,
FL-036 ,2086          ,72:03h             ,day_0 ,2012-07-04 ,2012-07-04 09:59:00 ,                    ,2012-07-04 12:30:00 ,
