pig_id,day,start_time,take_off,put_on,end_time
CO-038,day_2,,,,
CO-038,day_3,,,,
CO-039,day_0,2012-06-17 13:29:00,2012-06-17 15:15:00,2012-06-17 16:45:00,2012-06-17 22:00:00
CO-039,day_1,2012-06-18 08:45:00,2012-06-18 10:00:00,2012-06-18 12:30:00,2012-06-18 22:30:00
CO-039,day_2,2012-06-19 06:30:00,,,2012-06-19 17:00:00
CO-039,day_3,2012-06-20 09:30:00,,,2012-06-20 12:45:00
CO-040,day_0,2012-06-18 11:50:00,,,slept with hybrid
CO-040,day_1,,11:50 shower,2012-06-19 12:15:00,2012-06-19 22:30:00
CO-040,day_2,2012-06-20 09:30:00,14:15 nap,2012-06-20 17:15:00,2012-06-20 21:22:00
CO-040,day_3,2012-06-21 07:15:00,,,2012-06-21 11:50:00
CO-041,day_0,2012-07-03 13:35:00,,,2012-07-03 01:30:00
CO-041,day_1,2012-07-04 11:30:00,,,2012-07-04 01:30:00
CO-041,day_2,2012-07-05 09:30:00,,,2012-07-05 01:15:00
CO-041,day_3,2012-07-06 09:45:00,,,2012-07-06 13:00:00
CO-042,day_0,2012-07-04 11:54:00,,,2012-07-04 23:00:00
CO-042,day_1,2012-07-05 07:30:00,,,2012-07-05 23:30:00
CO-042,day_2,2012-07-06 09:15:00,,,2012-07-06 22:30:00
CO-042,day_3,,,,
